accel1, , , accel2, , , accel3, , , accel4, , , accel5, , , accel6, , , accel7, , , accel8, , , accel9, , , accel10, , , accel11, , , accel12, , , accel13, , , accel14, , , accel15, , , accel16, , , accel17, , , accel18, , , accel19, , , accel20, , , accel21, , , accel22, , , accel23, , , accel24, , , accel25, , , accel26, , , accel27, , , accel28, , , accel29, , , accel30, , , accel31, , , accel32, , , accel33, , , accel34, , , accel35, , , accel36, , , accel37, , , accel38, , , accel39, , , accel40, , , accel41, , , accel42, , , accel43, , , accel44, , , accel45, , , accel46, , , accel47, , , accel48, , , accel49, , , accel50, , , 
X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, 8625001, -12625, -100825,6625, -12975, -961,11775, -1355, -97225,1215, -9225, -9852501,11675, -855, -10285,1285, -1055, -108575,15525, -11475, -1127,3075, -4075, -13845,-1065, -64, -189,-31075, 36, -229875,-218, 21625, -262925,-154, 46925, -274475,-2095, 41, -255675,-54575, -36, -14295,-61975, -203, -844,-638, -445, -1815,-29475, -71575, 122975,-68, -482, 146525,-8925001, -19025, 1395,-55, -32375, 78575,1765, -74975, 585,392, -9995, 492,5387501, -98975, 61375,68375, -5095, 8465,7195, -29175, 86325,8075001, -279, 6025,86725, -3625, 465,90475, -36325, 3235,9235001, -3095, 3115,89325, -24725, 359,86075, -21075, 41975,8385, -25575, 46325,8355001, -3895, 495,83675, -42325, 5075001,8035001, -37825, 52975,79325, -3645, 5700001,781, -3225, 55975,78, -29775, 48625,7865, -31425, 428,80075, -27175, 3935,7925, -25675, 19175,7615001, -17275, 8275001,7600001, -37, 355,7450001, 67, -7575,72425, 1345, -19175,67475, 1245, -312,6752501, 4475, -39275,56925, 625, -72675,45475, 1985, -9367501,4535, 1755, -97075,
-16, -1675, -101275,-1275, -16475, -100025,-2125, -168, -9945,-1725, -16575, -1001,-1675, -1555, -10055,-1575, -1365, -101275,-1275, -143, -10145,-7, -15525, -9982501,17, -15775, -9292501,-25, -1685, -9752501,675, -1835, -9825001,-55, -17475, -10035,-425, -17625, -100825,-5, -17625, -1005,-25, -1635, -9990001,-25, -1665, -9950001,-6, -1645, -99875,-2, -16425, -10055,-125, -1605, -100725,7, -1605, -10015,85, -16425, -99975,725, -167, -9960001,75, -16825, -9907501,38, -18475, -10115,575, -1855, -103025,9225, -127, -105325,26325, -16225, -1274,29025, -199, -142525,9500001, -21175, -217675,-18725, -31525, -2722,-454, -31825, -311625,-8205, 1685, -330125,-8495001, 207, -292575,-9407501, 181, -250025,-11215, 3775, -184275,-12055, 525, -11925,-117425, -11025, -1395,-108675, -329, 4245,-94775, -473, 9242501,-65925, -4025, 1517,-62325, -4365, 15815,-5585001, -69275, 1533,-34825, -937, 147225,-1555, -1022, 1311,25125, -8017501, 101625,4325, -5285, 81625,651, -272, 656,73, -202, 4825,69775, -31775, 55525,64375, -4045, 64175,
2475, -189, -98725,135, -1835, -100225,325, -18175, -101075,6, -1835, -1014,45, -18175, -10015,225, -177, -1002,25, -167, -1009,525, -163, -100925,925, -16025, -1006,-15, -16175, -101125,2575, -17425, -9902501,2875, -17125, -9902501,305, -166, -10015,5175, -1585, -1021,6125, -1485, -10275,6225, -128, -104175,6675, -10325, -106525,41, -75, -1052,3525, -5, -1021,44, -3525, -9975001,675, 29, -9245,-2375, 7275, -88925,-7375, 8475, -8735,-15225, 1285, -7595,-163, 18825, -6765,-164, 408, -63075,-103, 5247501, -67,-7025, 5715, -6305,-149, 51525, -7,-19925, 409, -80125,-2305, 28075, -9227501,-273, 14175, -107,-286, 13175, -1081,-275, 11525, -1058,-2515, 675, -100675,-171, -7325, -8857501,-16075, -96, -85725,-17825, -8425, -88625,-14925, -8675, -95525,-1305, -8575001, -100325,-16075, -143, -9620001,-24425, -237, -1097,-29275, -318, -1302,-3475, -3125, -140825,-37775, -282, -1307,-4005, -251, -1112,-4315, -18725, -858,-51525, -7075001, -6325001,-559, -4025, -5840001,-6817501, 6075, -5185,
-38425, -20775, -92475,-3865, -207, -91075,-3975, -212, -9160001,-396, -184, -9105,-39725, -17425, -9020001,-39625, -175, -8955001,-392, -17325, -88525,-358, -16175, -78275,-37925, -171, -79975,-35925, -17725, -77325,-34775, -185, -7455,-36725, -1795, -7632501,-40675, -12425, -9865,-49025, 17, -140625,-5765, 525, -232525,-94775, -24575, -33795,-13465, -7007501, -405075,-170825, -138375, -445025,-182575, -16475, -416425,-215825, -119125, -310775,-2244, -1001, -285575,-227275, -89275, -26025,-292375, -44825, -287975,-336775, -31175, -270675,-369725, -21, -207525,-351625, 13, -93625,-332325, 5325, -69275,-322575, -33, -313,-266125, -152, 2275,-2457, -7175, 56625,-223575, 9475, 10825,-176725, -26, 2153,-152275, -51625, 24935,-12515, -537, 260625,-59525, -32675, 2026,-30875, -2875, 149075,-10425, -2425, 1145,17575, -2635, 763,27975, -2875, 683,35825, -2185, 683,434, -1925, 67675,4175, -25, 7375,3795, -4075, 82775,3975, -1345, 87475,32325, -22775, 89125,2475, -2275, 9245,28175, -24725, 9350001,34425, -22425, 79675,335, -1455, 6725,3475, -1465, 6357501,
