accel1, , , accel2, , , accel3, , , accel4, , , accel5, , , accel6, , , accel7, , , accel8, , , accel9, , , accel10, , , accel11, , , accel12, , , accel13, , , accel14, , , accel15, , , accel16, , , accel17, , , accel18, , , accel19, , , accel20, , , accel21, , , accel22, , , accel23, , , accel24, , , accel25, , , accel26, , , accel27, , , accel28, , , accel29, , , accel30, , , accel31, , , accel32, , , accel33, , , accel34, , , accel35, , , accel36, , , accel37, , , accel38, , , accel39, , , accel40, , , accel41, , , accel42, , , accel43, , , accel44, , , accel45, , , accel46, , , accel47, , , accel48, , , accel49, , , accel50, , , 
X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, 
-0.262, -1595, -975,-0.2765, -18525, -9795001,-0.276, -15325, -9935001,-0.2695, -15, -98975,-0.2785, -155, -9835001,-0.29525, -18075, -951,-0.31625, -17925, -90975,-0.31625, -17925, -90975,-0.3215, -12825, -91975,-0.3095, -11825, -9235001,-0.29325, -1115, -8555,-0.3215, -7275, -86475,-0.2305, -1165, -1012,-0.39475, -2045, -1528,-0.66925, -4655, -1933,-0.85325, -59825, -2529,-0.9077501, -6965, -318975,-1.51275, -11225, -4911,-1.79425, -107825, -457075,-2.21575, -66425, -352425,-2.43125, -62475, -335775,-2.61975, -93375, -338175,-2.9705, -1125, -3234,-3.542, -81375, -244675,-3.70925, -7417501, -163325,-3.5625, -4395, -7505,-3.38325, -46625, -45075,-2.7455, -15175, -1275,-2.7455, -15175, -1275,-2.28825, 16375, 47025,-2.052, 20725, 78825,-1.60325, 4325, 135625,-1.3725, -2725, 146475,-0.8685001, -94, 149575,-0.60975, -171, 15275,-0.40375, -25225, 14935,-0.2305, -28075, 14455,0.03075, -4925, 12225,0.135, 1035, 115125,0.2025, 11375, 11905,0.29675, -1555, 113125,0.32175, -202, 1039,0.357, -186, 9495,0.4505, 25, 81475,0.46, 7875001, 8415,0.47175, 97, 8650001,0.4625, 265, 8365,0.45425, -3, 822,0.4575, 185, 81025,0.442, 2025, 854,
-0.6160001, -1445, -761,-0.5987501, -131, -7595,-0.594, -11225, -7525001,-0.5635, -1055, -7575001,-0.57725, -9825, -7730001,-0.57525, -10475, -816,-0.56075, -8475, -8595001,-0.5505, -7225, -8340001,-0.55475, -6325001, -8145,-0.52675, -755, -81925,-0.512, -5, -808,-0.474, -1115, -85875,-0.5025, -19275, -87875,-0.5025, -19275, -87875,-0.469, -14025, -9165,-0.461, -9625001, -93125,-0.46225, -495, -9137501,-0.465, -5, -90425,-0.61375, -10825, -115575,-0.742, -11875, -1542,-0.9677501, -1845, -201125,-1.11125, -31725, -2701,-1.18625, -2735, -301275,-1.3925, -159, -32425,-1.737, -17975, -324275,-2.3475, -47425, -368475,-3.02075, -30475, -3691,-3.2325, -5625, -305475,-3.359, 13025, -243775,-3.331, 18725, -193325,-3.4355, 28225, -8675001,-3.18, 19925, -318,-2.4575, -1065, 3195,-2.094, -10475, 4035,-1.80525, 25, 505,-1.51925, 665, 7302501,-1.26825, 10175, 9432501,-0.7672501, 3225, 11665,-0.4645, -25, 152925,-0.28875, -9925, 1636,-0.16675, -1525, 156075,-0.0485, -172, 143175,0.11175, -139, 13385,0.377, 5175, 115375,0.57075, 195, 8615,0.6675, 21875, 75925,0.70375, 216, 7055,0.744, 185, 652,0.8035001, 144, 6105,0.7690001, 13875, 637,
