accel1, , , accel2, , , accel3, , , accel4, , , accel5, , , accel6, , , accel7, , , accel8, , , accel9, , , accel10, , , accel11, , , accel12, , , accel13, , , accel14, , , accel15, , , accel16, , , accel17, , , accel18, , , accel19, , , accel20, , , accel21, , , accel22, , , accel23, , , accel24, , , accel25, , , accel26, , , accel27, , , accel28, , , accel29, , , accel30, , , accel31, , , accel32, , , accel33, , , accel34, , , accel35, , , accel36, , , accel37, , , accel38, , , accel39, , , accel40, , , accel41, , , accel42, , , accel43, , , accel44, , , accel45, , , accel46, , , accel47, , , accel48, , , accel49, , , accel50, , , 
X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, 
en-US, -20775, -9907501,en-US, -21175, -9765,en-US, -18575, -932,en-US, -20325, -9390001,en-US, -21475, -9350001,en-US, -21575, -9220001,en-US, -22, -93475,en-US, -21375, -9422501,en-US, -217, -93475,en-US, -22625, -93375,en-US, -21, -91075,en-US, -22125, -8922501,en-US, -29625, -9,en-US, -2095, -9597501,en-US, -187, -1069,en-US, -187, -116925,en-US, -4375, -171125,en-US, -572, -1868,en-US, -65775, -177,en-US, -52175, -164725,en-US, -48525, -17085,en-US, -48325, -195475,en-US, -4755, -213125,en-US, -33525, -200175,en-US, -26025, -176825,en-US, -1765, -99275,en-US, -25875, -48475,en-US, -41925, 15,-en-US, -5225, 48575,en-US, -66075, 1284,en-US, -608, 17085,en-US, -6485, 183525,en-US, -9145001, 16955,en-US, -111275, 15095,en-US, -9760001, 9637501,en-US, -78575, 80725,en-US, -545, 6895,en-US, -167, 3865,en-US, -19025, 25725,en-US, -2695, 1145,en-US, -38175, 57,en-US, -42, 177,en-US, -40375, 33175,en-US, -39125, 47225,en-US, -378, 589,en-US, -383, 58,en-US, -36975, 5085,en-US, -3745, 50775,en-US, -37975, 5075001,en-US, -3885, 511,
en-US, -315, -9202501,en-US, -313, -919,en-US, -3085, -927,en-US, -24525, -91725,en-US, -26225, -9145001,en-US, -27975, -9255,en-US, -2615, -92625,en-US, -25925, -94175,en-US, -265, -9215,en-US, -33575, -978,en-US, -30825, -9992501,en-US, -33325, -106375,en-US, -40425, -123725,en-US, -35825, -133025,en-US, -33575, -1666,en-US, -50925, -2544,en-US, -721, -27735,en-US, -8015, -2653,en-US, -30375, -249675,en-US, -26275, -2553,-en-US, -32625, -22655,-en-US, -331, -1776,-en-US, 9, -87375,-en-US, 306, -44325,-en-US, 25475, 32875,en-US, 166, 7517501,en-US, 5975, 758,en-US, 255, 75925,en-US, -1095, 104575,en-US, -17875, 12675,-en-US, -27925, 185675,en-US, -50025, 19255,en-US, -544, 181525,en-US, -47175, 14135,en-US, -47175, 14135,en-US, -32725, 97575,en-US, -25225, 7415,en-US, -18975, 536,en-US, -18975, 536,en-US, -18775, 358,en-US, -27075, 37675,en-US, -24525, 38225,en-US, -20125, 44425,en-US, -8750001, 5865,en-US, -8575001, 62875,en-US, -161, 6285,en-US, -17925, 5845,en-US, -15025, 5305001,en-US, -10375, 479,en-US, -525, 42875,
en-US, -17925, -1087,en-US, -1785, -103725,en-US, -17925, -100575,en-US, -1605, -97725,en-US, -1525, -9192501,en-US, -1455, -9317501,en-US, -11975, -91425,en-US, 1975, -9030001,en-US, 5725, -89775,en-US, 143, -895,en-US, 17025, -86825,en-US, 17275, -8182501,en-US, 15975, -78425,en-US, 321, -7085,en-US, 439, -731,en-US, 42125, -70525,en-US, 317, -7025,en-US, 6, -36825,en-US, 3425, -146,en-US, 1805, -11225,en-US, 318, -32125,en-US, 3725, -36875,en-US, 25325, -4045,en-US, 21675, -4675,en-US, 14475, -56275,en-US, 335, -716,en-US, -109, -77275,-en-US, -18275, -58875,-en-US, -29875, -55725,-en-US, -6810001, -1196,-en-US, -793, -1622,-en-US, -63375, -178,-en-US, -5475, -144075,-en-US, 126, -147425,-en-US, 6375001, -206925,-en-US, 195, -234975,-en-US, 63425, -29485,-en-US, 8525, -37975,-en-US, 45975, -42415,-en-US, -11375, -4639,-en-US, 8025, -53425,-en-US, -5725, -5185,-en-US, -267, -47105,-en-US, -488, -36595,-en-US, -5975, -27465,-en-US, -10375, -213825,-en-US, -11895, -131825,-en-US, -9217501, -9220001,-en-US, -7215, -581,-en-US, -3895, -1825,
en-US, -5425, -1529,en-US, -8400001, -139825,en-US, 275, -11605,en-US, 3625, -100975,en-US, 545, -87925,en-US, 615, -77825,en-US, 6275, -6,en-US, 4625, -54925,-en-US, 5025, -49875,-en-US, 7250001, -5225,-en-US, 67, -558,-en-US, 5125, -64,-en-US, 59, -79475,-en-US, -125, -8945,-en-US, -17525, -8782501,-en-US, -14275, -8075001,-en-US, -4825, -84975,-en-US, -3525, -8835,-en-US, -195, -788,-en-US, 22, -7952501,-en-US, -2775, -84225,-en-US, -35, -9155,-en-US, 475, -9752501,-en-US, 625, -97425,-en-US, 15775, -103975,-en-US, 36125, -12615,-en-US, 6850001, -149925,-en-US, 9265, -239775,-en-US, 51875, -29395,-en-US, 29675, -364325,-en-US, 17375, -430425,-en-US, -595, -4414,-en-US, 35, -49235,-en-US, -535, -49495,-en-US, -35975, -46605,-en-US, -162275, -386975,-en-US, -213725, -289575,-en-US, -1347, -1177,-en-US, -77375, -41125,-en-US, -9125, 174,-en-US, 41625, 1267,-en-US, 38425, 238,-en-US, 37, 25955,-en-US, -675, 25875,-en-US, -5617501, 22535,-en-US, -7325, 1707,en-US, -5565, 110875,en-US, 5025, 516,en-US, 1085, 54825,en-US, 115, 577,
