accel1, , , accel2, , , accel3, , , accel4, , , accel5, , , accel6, , , accel7, , , accel8, , , accel9, , , accel10, , , accel11, , , accel12, , , accel13, , , accel14, , , accel15, , , accel16, , , accel17, , , accel18, , , accel19, , , accel20, , , accel21, , , accel22, , , accel23, , , accel24, , , accel25, , , accel26, , , accel27, , , accel28, , , accel29, , , accel30, , , accel31, , , accel32, , , accel33, , , accel34, , , accel35, , , accel36, , , accel37, , , accel38, , , accel39, , , accel40, , , accel41, , , accel42, , , accel43, , , accel44, , , accel45, , , accel46, , , accel47, , , accel48, , , accel49, , , accel50, , , 
X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, 
-0.3825, -0.12, -0.9612501,-0.35125, -0.0745, -0.934,-0.36975, -0.04175, -0.9630001,-0.41025, -0.035, -0.9675,-0.41175, -0.0555, -1.05425,-0.429, -0.109, -1.1555,-0.4265, -0.27425, -1.734,-0.4445, -0.33325, -2.147,-0.5395, -0.15, -2.5425,0.14875, -0.22925, -2.66,0.31675, -0.48425, -2.678,0.02375, -0.687, -2.59675,-0.2675, -0.94175, -2.5235,-0.56675, -1.3285, -3.0955,-1.177, -1.46275, -3.4335,-2.12425, -1.61225, -2.89975,-2.3455, -1.22625, -2.3945,-2.68775, -0.4395, -2.053,-2.6785, 0.111, -1.7095,-2.86525, 0.21575, -0.8850001,-4.18375, 0.105, -0.1865,-2.6945, -0.003, 0.34175,-2.04125, 0.0045, 0.8925,-1.786, -0.1095, 1.3255,-1.31175, -0.1005, 2.29275,-0.9900001, 0.16425, 2.37875,-0.6765, 0.37525, 2.21075,-0.16, 0.1555, 1.74175,0.03575, 0.023, 1.38775,0.23975, 0.015, 1.10075,0.55975, 0.11025, 0.73225,0.6405, 0.094, 0.60475,0.7392501, 0.041, 0.53775,0.80525, 0.03125, 0.574,0.73725, 0.0685, 0.60575,0.774, 0.1055, 0.6955,0.6990001, 0.1135, 0.7485,0.67875, 0.12825, 0.8502501,0.6810001, 0.12175, 0.83125,0.6815, 0.0925, 0.72475,0.6815, 0.0925, 0.72475,0.7147501, 0.0535, 0.659,0.7385001, 0.07675, 0.48825,0.8445001, 0.096, 0.477,0.8207501, 0.10625, 0.4635,0.8445001, 0.07725, 0.4745,0.84475, 0.053, 0.537,0.793, 0.027, 0.5365,0.726, 0.10125, 0.4905,0.726, 0.10125, 0.4905,
-0.4315, -0.179, -0.8265001,-0.4285, -0.1675, -0.83425,-0.41475, -0.1195, -0.84675,-0.389, -0.07075001, -0.8847501,-0.39975, -0.09225, -0.91425,-0.39425, -0.11, -0.9585,-0.3575, -0.1065, -0.9605001,-0.33425, -0.10925, -0.9482501,-0.284, -0.111, -0.9737501,-0.254, -0.08175001, -0.9202501,-0.21625, -0.136, -1.06425,-0.19125, -0.152, -1.10775,-0.248, -0.0105, -1.46225,-0.215, -0.16, -2.01,-0.275, -0.37825, -2.6205,-0.54625, -0.324, -2.90075,-0.66075, -0.34, -3.616,-0.9300001, -0.34625, -3.5155,-1.05825, -0.14025, -2.95575,-1.1365, -0.08800001, -2.72525,-1.30625, 0.07425001, -2.51,-1.4395, 0.1625, -2.43975,-1.78775, 0.08750001, -2.09575,-1.92825, -0.0005, -1.5685,-2.087, -0.0165, -0.078,-1.99475, 0.074, 0.44675,-1.6185, 0.0365, 0.75875,-1.30475, -0.066, 0.82525,-0.7635, -0.07700001, 0.9735001,-0.52125, -0.016, 1.16225,-0.311, 0.04325, 1.28575,-0.0015, 0.231, 1.437,0.1075, 0.26375, 1.52175,0.36125, 0.26925, 1.33275,0.46175, 0.283, 1.148,0.57175, 0.28125, 1.01525,0.6755, 0.242, 0.8890001,0.8340001, 0.16125, 0.4905,0.927, 0.11925, 0.32825,0.96675, 0.036, 0.2705,0.93525, 0.0195, 0.34725,0.906, 0.0295, 0.36025,0.8890001, 0.04225, 0.284,1.03375, 0.13, 0.203,0.9267501, 0.205, 0.23775,0.8725001, 0.258, 0.48,0.84925, 0.19925, 0.5330001,0.83125, 0.12575, 0.52875,0.7952501, 0.133, 0.45,0.767, 0.1525, 0.51225,
-0.40475, -0.0515, -1.06375,-0.41725, -0.0665, -1.0015,-0.3945, -0.15375, -0.9045001,-0.38075, -0.16225, -0.8755,-0.36475, -0.13175, -0.8435,-0.36775, -0.11225, -0.9720001,-0.3505, -0.1785, -1.04375,-0.41475, -0.18975, -1.1685,-0.27075, -0.317, -1.26325,-0.15675, -0.407, -1.46875,-0.3315, -0.3805, -1.8925,-0.4115, -0.45125, -2.37525,-0.4765, -0.41025, -2.3835,-0.69175, -0.34675, -2.95725,-0.7507501, -0.4175, -2.9495,-0.775, -0.45775, -2.713,-0.8922501, -0.256, -2.68225,-1.05775, 0.0795, -2.352,-1.17375, 0.184, -2.04575,-1.63275, 0.17725, -1.60175,-1.903, 0.34725, -1.52675,-2.24875, 0.31975, -1.316,-2.3625, -0.228, -0.7395,-1.644, -1.256, 0.62375,-1.2825, -1.08975, 0.821,-1.0475, -0.4875, 0.9210001,-1.00775, -0.571, 1.02425,-0.9342501, -0.84725, 1.20075,-0.7985001, -1.10275, 1.4395,-0.44125, -0.98, 1.71425,-0.19, -0.762, 1.6165,0.2415, -0.49825, 1.059,0.431, -0.4255, 0.71525,0.62775, -0.38175, 0.417,0.86575, -0.36275, 0.19925,0.89925, -0.3695, 0.2435,0.862, -0.4035, 0.3505,0.78475, -0.4135, 0.4775,0.627, -0.29075, 0.54675,0.57925, -0.3065, 0.553,0.57125, -0.3875, 0.56075,0.58325, -0.50025, 0.5595,0.54625, -0.47475, 0.55775,0.4005, -0.41525, 0.49975,0.387, -0.4395, 0.42525,0.38325, -0.46725, 0.3255,0.3345, -0.39875, 0.16575,0.31425, -0.1045, -0.059,0.33675, -0.03775, -0.12725,0.33725, -0.0425, -0.36575,
