accelX-accelY-accelZ
-0,03525--0,09175--1,0165,
-0,03525--0,09175--1,0165,
-0,04425--0,086--0,9975001,
-0,05675--0,09875--0,98375,
-0,05225--0,08525001--0,9877501,
-0,05475--0,06125--0,9277501,
-0,0355--0,044--0,9085,
0,017--0,04425--0,96,
0,0745--0,0545--0,9990001,
0,1165--0,0535--1,03225,
0,31825--0,19375--1,5185,
0,23475--0,21825--2,047,
-0,18425--0,11825--2,96725,
-0,36075--0,10325--3,292,
-0,487--0,082--3,32925,
-1,033--0,08725--3,04775,
-1,31325--0,052--2,8795,
-1,56875--0,00775--2,5965,
-1,78--0,1035--2,11025,
-2,02--0,05125--1,147,
-1,6955--0,124--0,397,
-1,55525--0,347--0,047,
-1,3355--0,5525-0,33075,
-0,74575--0,71425-0,9662501,
-0,69725--0,69025-1,177,
-0,56575--0,77525-1,442,
-0,4375--0,88875-1,712,
-0,3055--0,95525-1,693,
-0,12725--0,974-1,5165,
0,31825--0,827-0,8915001,
0,31825--0,827-0,8915001,
0,5962501--0,40425-0,48125,
0,6905--0,2275-0,4115,
0,7225--0,16125-0,49525,
0,7122501--0,207-0,523,
0,6915--0,232-0,50775,
0,6865--0,3145-0,51125,
0,57375--0,33925-0,52525,
0,5847501--0,3215-0,54075,
0,5485--0,30725-0,492,
0,5132501--0,33825-0,41675,
0,452--0,3265-0,26425,
0,47325--0,30475-0,00275,
0,555--0,2645--0,07250001,
0,6--0,207--0,126,
0,49025--0,042--0,34525,
0,449--0,04625--0,48875,
0,43625--0,09075--0,651,
0,40925--0,0215--0,9515001,
0,368-0,0335--1,06275,
0,33-0,031--1,171,
0,25725-0,01875--1,267,
0,147--0,151--1,35225,
0,07725--0,27775--1,286,
0,07725--0,27775--1,286,
0,0735--0,25425--1,29275,
0,085--0,206--1,307,
0,1345--0,2285--1,28475,
0,12625--0,2155--1,21875,
0,07975--0,19225--1,15275,
-0,02825--0,22875--1,2055,
-0,044--0,2675--1,2335,
-0,05775--0,327--1,23275,
-0,1125--0,3365--1,12675,
-0,1615--0,3325--1,19025,
-0,167--0,335--1,242,
-0,1875--0,31225--1,182,
-0,202--0,30475--1,12675,
-0,20025--0,33875--1,109,
-0,242--0,32075--1,1075,
-0,24175--0,2985--1,11375,
-0,23--0,28175--1,08175,
-0,221--0,26525--0,9777501,
-0,2145--0,26425--0,9382501,
-0,21275--0,2665--0,93525,
-0,2205--0,25625--0,9465001,
-0,22--0,26975--1,00525,
-0,20725--0,28075--1,0635,
-0,20175--0,24125--1,11,
-0,1675--0,24775--1,157,
-0,13075--0,24875--1,27725,
-0,09325001--0,2305--1,45625,
0,0175--0,25175--2,145,
0,1295--0,2575--2,37125,
-0,003--0,232--2,6345,
-0,204--0,22675--2,7375,
-0,3925--0,139--2,80925,
-0,83925--0,23625--2,31125,
-1,0945-0,02925--2,04525,
-1,02825-0,031--1,69725,
-0,99975--0,154--1,34675,
-0,9227501--0,2945--0,59725,
-0,8205--0,17525--0,103,
-0,5470001-0,06500001-0,04175,
-0,286--0,155-0,12,
-0,328--0,391-0,39125,
-0,204--0,3845-1,095,
-0,017--0,517-1,35675,
0,029--0,6265-1,6235,
0,1165--0,457-1,83425,
0,26775--0,319-1,55325
-0,247--0,145--0,9705001,
-0,246--0,1905--1,02575,
-0,225--0,206--1,098,
-0,259--0,2395--1,09825,
-0,32075--0,33075--1,3645,
-0,2475--0,437--1,66175,
-0,193--0,42175--2,201,
-0,1745--0,30375--2,48725,
-0,13725--0,24925--2,75025,
-0,205--0,255--2,81275,
-0,5775--0,4345--2,85975,
-0,863--0,52775--2,676,
-1,417--0,4405--2,04275,
-1,56275--0,46475--1,7225,
-1,6115--0,549--1,42825,
-1,471--0,43275--0,8807501,
-1,31--0,135--0,7410001,
-1,05--0,07825001--0,5725001,
-0,8882501--0,2975-0,00325,
-0,68375--0,2275-0,32725,
-0,4715--0,2365-0,6357501,
-0,27875--0,37625-1,169,
-0,20825--0,50075-1,381,
-0,20825--0,5295-1,4725,
-0,11125--0,55375-1,60675,
-0,007--0,557-1,5645,
0,146--0,54425-1,444,
0,4545--0,379-0,983,
0,587--0,273-0,71825,
0,7032501--0,2205-0,48525,
0,8525--0,2255-0,24975,
0,8520001--0,23825-0,28575,
0,83575--0,226-0,3525,
0,7557501--0,205-0,47325,
0,724--0,235-0,55725,
0,677--0,21975-0,5785,
0,6935--0,132-0,50225,
0,70025--0,145-0,46075,
0,675--0,1715-0,417,
0,654--0,20825-0,25975,
0,67825--0,17925-0,18325,
0,69225--0,10125-0,094,
0,78225-0,014--0,08400001,
0,775-0,051--0,15925,
0,737-0,0745--0,24,
0,7055-0,06975--0,31725,
0,73575-0,05425--0,41325,
0,7557501-0,10325--0,444,
0,739-0,2195--0,5205,
0,6720001-0,276--0,6195,
0,54425-0,10675--0,7775,
0,4865--0,027--0,83125,
0,4395--0,1045--0,8515,
0,3645--0,1245--0,8965001,
0,2725--0,0825--1,07,
0,254--0,10175--1,1075,
0,2415--0,19475--1,15975,
0,19175--0,3175--1,28275,
0,179--0,3385--1,32325,
